Author,Genre,Name,Year,Price,Reviews,User Rating
Mark R. Levin,Non Fiction,Liberty and Tyranny: A Conservative Manifesto,2009,15,3828,4.8
Keith Richards,Non Fiction,Life,2010,18,2752,4.5
Chris Cleave,Fiction,Little Bee: A Novel,2010,10,1467,4.1
Alice Schertle,Fiction,Little Blue Truck,2014,0,1884,4.9
Celeste Ng,Fiction,Little Fires Everywhere,2018,12,25706,4.5
John Green,Fiction,Looking for Alaska,2014,7,8491,4.5
Rob Bell,Non Fiction,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",2011,13,1649,4.2
Robert Munsch,Fiction,Love You Forever,2014,5,18613,4.8
Robert Munsch,Fiction,Love You Forever,2015,5,18613,4.8
Joanna Gaines,Non Fiction,Magnolia Table: A Collection of Recipes for Gathering,2018,16,9867,4.8
Ina Garten,Non Fiction,Make It Ahead: A Barefoot Contessa Cookbook,2014,20,1386,4.5
Admiral William H. McRaven,Non Fiction,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,2017,11,10199,4.7
Julia Child,Non Fiction,"Mastering the Art of French Cooking, Vol. 2",2009,27,2926,4.8
Rupi Kaur,Non Fiction,Milk and Honey,2016,8,17739,4.7
Rupi Kaur,Non Fiction,Milk and Honey,2017,8,17739,4.7
Rupi Kaur,Non Fiction,Milk and Honey,2018,8,17739,4.7
Adam Gasiewski,Non Fiction,Milk and Vine: Inspirational Quotes From Classic Vines,2017,6,3113,4.4
Carol S. Dweck,Non Fiction,Mindset: The New Psychology of Success,2014,10,5542,4.6
Carol S. Dweck,Non Fiction,Mindset: The New Psychology of Success,2015,10,5542,4.6
Carol S. Dweck,Non Fiction,Mindset: The New Psychology of Success,2016,10,5542,4.6
Suzanne Collins,Fiction,Mockingjay (The Hunger Games),2010,8,26741,4.5
Suzanne Collins,Fiction,Mockingjay (The Hunger Games),2011,8,26741,4.5
Suzanne Collins,Fiction,Mockingjay (The Hunger Games),2012,8,26741,4.5
Crispin Boyer,Non Fiction,"National Geographic Kids Why?: Over 1,111 Answers to Everything",2019,16,5347,4.8
Amy Shields,Non Fiction,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),2019,11,7866,4.8
Stephenie Meyer,Fiction,New Moon (The Twilight Saga),2009,10,5680,4.6
Elie Wiesel,Non Fiction,Night (Night),2016,9,5178,4.7
Mark Owen,Non Fiction,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,2012,14,8093,4.6
Pete Souza,Non Fiction,Obama: An Intimate Portrait,2017,22,3192,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2012,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2013,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2014,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2015,8,21834,4.9
